week_monday,city_abbr,brand_slug,brand_zh,city_name,index,index_log,index_z,y,y_z_global,y_z_by_unit,treat_week,rel_week_async,relw_bucket,treated_it,ever_treated,unit
2019-05-20,CQ,CRF,,重庆,155,5.043425116919247,0.2944400334614197,5.043425116919247,0.7589730692694824,-0.27250224953613567,2019-09-16,-17,-17,0,1,CRF_CQ
2019-05-27,CQ,CRF,,重庆,151,5.017279836814924,0.2216428477039235,5.017279836814924,0.7362872849661822,-0.47291583482708927,2019-09-16,-16,-16,0,1,CRF_CQ
2019-06-03,CQ,CRF,,重庆,152,5.0238805208462765,0.2398421441432975,5.0238805208462765,0.7420145785194358,-0.42231906375339445,2019-09-16,-15,-15,0,1,CRF_CQ
2019-06-10,CQ,CRF,,重庆,178,5.181783550292085,0.7130238515670226,5.181783550292085,0.879024166963395,0.7880681316894126,2019-09-16,-14,-14,0,1,CRF_CQ
2019-06-17,CQ,CRF,,重庆,324,5.780743515792329,3.3701211317156328,5.780743515792329,1.3987308417220332,5.379325660875498,2019-09-16,-13,-13,0,1,CRF_CQ
2019-06-24,CQ,CRF,,重庆,168,5.123963979403259,0.5310308871732823,5.123963979403259,0.8288551762905267,0.3448589767070433,2019-09-16,-12,-12,0,1,CRF_CQ
2019-07-01,CQ,CRF,,重庆,158,5.062595033026967,0.3490379227795418,5.062595033026967,0.7756064570242458,-0.1255575007499169,2019-09-16,-11,-11,0,1,CRF_CQ
2019-07-08,CQ,CRF,,重庆,169,5.1298987149230735,0.5492301836126563,5.1298987149230735,0.8340046384252771,0.3903509973904629,2019-09-16,-10,-10,0,1,CRF_CQ
2019-07-15,CQ,CRF,,重庆,160,5.075173815233827,0.3854365156582899,5.075173815233827,0.7865208377003905,-0.029136317629601872,2019-09-16,-9,-9,0,1,CRF_CQ
2019-07-22,CQ,CRF,,重庆,158,5.062595033026967,0.3490379227795418,5.062595033026967,0.7756064570242458,-0.1255575007499169,2019-09-16,-8,-8,0,1,CRF_CQ
2019-07-29,CQ,CRF,,重庆,154,5.0369526024136295,0.2762407370220456,5.0369526024136295,0.7533569860839693,-0.3221165521078645,2019-09-16,-7,-7,0,1,CRF_CQ
2019-08-05,CQ,CRF,,重庆,147,4.990432586778736,0.1488456619464273,4.990432586778736,0.7129924141127221,-0.6787102884908551,2019-09-16,-6,-6,0,1,CRF_CQ
2019-08-12,CQ,CRF,,重庆,155,5.043425116919247,0.2944400334614197,5.043425116919247,0.7589730692694824,-0.27250224953613567,2019-09-16,-5,-5,0,1,CRF_CQ
2019-08-19,CQ,CRF,,重庆,163,5.093750200806762,0.440034404976412,5.093750200806762,0.8026392297987366,0.11325879229326691,2019-09-16,-4,-4,0,1,CRF_CQ
2019-08-26,CQ,CRF,,重庆,163,5.093750200806762,0.440034404976412,5.093750200806762,0.8026392297987366,0.11325879229326691,2019-09-16,-3,-3,0,1,CRF_CQ
2019-09-02,CQ,CRF,,重庆,164,5.099866427824199,0.458233701415786,5.099866427824199,0.8079461688069991,0.16014201481476423,2019-09-16,-2,-2,0,1,CRF_CQ
2019-09-09,CQ,CRF,,重庆,159,5.068904202220232,0.3672372192189159,5.068904202220232,0.7810808084513619,-0.0771953025564261,2019-09-16,-1,-1,0,1,CRF_CQ
2019-09-16,CQ,CRF,,重庆,195,5.272999558563747,1.0224118910363813,5.272999558563747,0.9581706393057147,1.4872737695984404,2019-09-16,0,0,1,1,CRF_CQ
2019-09-23,CQ,CRF,,重庆,157,5.056245805348308,0.3308386263401678,5.056245805348308,0.7700973475774974,-0.17422676257581243,2019-09-16,1,1,1,1,CRF_CQ
2019-09-30,CQ,CRF,,重庆,170,5.135798437050262,0.5674294800520303,5.135798437050262,0.8391237200756848,0.4355746270097439,2019-09-16,2,2,1,1,CRF_CQ
2019-10-07,CQ,CRF,,重庆,154,5.0369526024136295,0.2762407370220456,5.0369526024136295,0.7533569860839693,-0.3221165521078645,2019-09-16,3,3,1,1,CRF_CQ
2019-10-14,CQ,CRF,,重庆,147,4.990432586778736,0.1488456619464273,4.990432586778736,0.7129924141127221,-0.6787102884908551,2019-09-16,4,4,1,1,CRF_CQ
2019-10-21,CQ,CRF,,重庆,159,5.068904202220232,0.3672372192189159,5.068904202220232,0.7810808084513619,-0.0771953025564261,2019-09-16,5,5,1,1,CRF_CQ
2019-10-28,CQ,CRF,,重庆,161,5.081404364984463,0.4036358120976639,5.081404364984463,0.7919269724662045,0.01862323242594652,2019-09-16,6,6,1,1,CRF_CQ
2019-11-04,CQ,CRF,,重庆,155,5.043425116919247,0.2944400334614197,5.043425116919247,0.7589730692694824,-0.27250224953613567,2019-09-16,7,7,1,1,CRF_CQ
2019-11-11,CQ,CRF,,重庆,147,4.990432586778736,0.1488456619464273,4.990432586778736,0.7129924141127221,-0.6787102884908551,2019-09-16,8,8,1,1,CRF_CQ
2019-11-18,CQ,CRF,,重庆,132,4.882801922586371,-0.1241437846441832,4.882801922586371,0.6196032431974998,-1.503740550624954,2019-09-16,9,9,1,1,CRF_CQ
